stack_name,stack_type,image_url,homepage_url
Hadoop,Databases,https://img.stackshare.io/service/1044/elephant_rgb_sq.png,http://hadoop.apache.org/
Adobe Illustrator,Graphic Design,https://img.stackshare.io/service/3175/adobe-illustrator.png,https://www.adobe.com/ru/products/illustrator.html
Oracle,Databases,https://img.stackshare.io/service/1026/jT-HJYJg.png,http://www.oracle.com/us/products/database/overview/index.html
TensorFlow,Machine Learning Tools,https://img.stackshare.io/service/4717/FtFnqC38_400x400.png,https://www.tensorflow.org/
Argo,Container Tools,https://img.stackshare.io/service/9840/PqKLmP_S_400x400.jpg,https://argoproj.github.io/
Amazon EKS,Containers as a Service,https://img.stackshare.io/service/7991/amazon-eks.png,https://aws.amazon.com/eks/
Microsoft SharePoint,Document Collaboration,https://img.stackshare.io/service/2274/pDetc4fK_400x400.png,https://products.office.com/en-ww/sharepoint/collaboration?ms.officeurl=sharepoint&rtc=1
Consul,Open Source Service Discovery,https://img.stackshare.io/service/747/consul-logo-grad_teaser.png,http://www.consul.io/
Nuxt.js,Front-End Frameworks,https://img.stackshare.io/service/7304/23360933.png,https://nuxtjs.org/
scikit-learn,Machine Learning Tools,https://img.stackshare.io/service/2657/scikit-learn-logo.png,http://scikit-learn.org/stable/
Optimizely,A/B Testing Analytics,https://img.stackshare.io/service/61/preview.png,https://www.optimizely.com/
Elixir,Languages,https://img.stackshare.io/service/1974/drop.png,http://elixir-lang.org/
Playwright,Headless Browsers,https://img.stackshare.io/service/11955/default_48baa40615243f437bc3b182e62ddfe0290fca4b.png,https://github.com/microsoft/playwright
Okta,Identity Verification as a Service,https://img.stackshare.io/service/1285/OFIWSUgo_400x400.jpg,https://www.okta.com/
gRPC,Remote Procedure Call (RPC),https://img.stackshare.io/service/4670/default_d811b0ac72205af84aca21f967594338580be913.png,https://grpc.io/
FFMPEG,Image Processing and Management,https://img.stackshare.io/service/4784/ugIX8eBN_normal.png,https://www.ffmpeg.org/
Databricks,General Analytics,https://img.stackshare.io/service/9655/H9_HWdcr_400x400.jpg,https://databricks.com/
Elementor,CMS Tools,https://img.stackshare.io/service/9785/default_dbe74a5428e4fcf710778a6d102676be30e60b76.png,https://elementor.com/
MongoDB Atlas,MongoDB Hosting,https://img.stackshare.io/service/5739/atlas-360x360.png,https://www.mongodb.com/cloud/atlas
Gin Gonic,Frameworks (Full Stack),https://img.stackshare.io/service/4221/7894478.png,https://gin-gonic.com/
PagerDuty,Monitoring Aggregation,https://img.stackshare.io/service/107/GtwgsQj5_400x400.jpg,http://www.pagerduty.com/
Milvus,Vector Databases,https://img.stackshare.io/service/11462/UYESE3g6_400x400.jpg,https://milvus.io/
OneNote,Task Management,https://img.stackshare.io/service/7626/ikCJDPLz_400x400.png,https://www.onenote.com/
Botpress,Chatbot Platforms & Tools,https://img.stackshare.io/service/6273/default_6a20de793303d3997f1c35ad686f5662561deab6.jpg,https://botpress.io/
Gin Gonic,Frameworks (Full Stack),https://img.stackshare.io/service/4221/7894478.png,https://gin-gonic.com/
Shiny,Business Intelligence,https://img.stackshare.io/service/4958/YYMiHBTH_400x400.png,https://www.rstudio.com/products/shiny/
Amazon ElastiCache,Managed Memcache,https://img.stackshare.io/service/392/amazon-elasticache.png,http://aws.amazon.com/elasticache/
R Language,Languages,https://img.stackshare.io/service/1213/r-logo.png,http://www.r-project.org/
Nightwatchjs,Browser Testing,https://img.stackshare.io/service/4125/Ihf7jKaE.png,http://nightwatchjs.org/
Snowflake,Big Data as a Service,https://img.stackshare.io/service/5889/default_768181e102486f7411fe5f997dac1328d057c2cf.png,https://www.snowflake.net/
Fabric.js,Monitoring Tools,https://img.stackshare.io/service/6022/Screen_shot_2011-07-11_at_1.55.36_AM_400x400.png,http://fabricjs.com/
Hugo,Static Site Generators,https://img.stackshare.io/service/1158/default_2e4f7c34f249c9c44d4c0b776018014c06692d03.jpg,https://gohugo.io/
Phoenix Framework,Frameworks (Full Stack),https://img.stackshare.io/service/3262/-s9uoLIN.png,http://www.phoenixframework.org/
Newman,API Tools,https://img.stackshare.io/service/3766/10251060.png,https://github.com/postmanlabs/newman
PowerShell,Languages,https://img.stackshare.io/service/3681/powershell-logo.png,https://docs.microsoft.com/en-us/powershell/
PagerDuty,Monitoring Aggregation,https://img.stackshare.io/service/107/GtwgsQj5_400x400.jpg,http://www.pagerduty.com/
Gatsby,Static Site Generators,https://img.stackshare.io/service/5472/default_189db484e0770a6101c6a70f0ef0172bc0f8de37.png,https://www.gatsbyjs.org/
AWS Glue,Big Data Tools,https://img.stackshare.io/service/8906/AWS-Glue_4x.png,https://aws.amazon.com/glue/
